蘇聯民航217號班機空難,1972年10月13日,0,,,
蘇聯民航1491號班機空難,1972年5月18日,7,,,
東方航空401號班機空難,1972年12月29日,75,13,75,
西班牙國家航空602號班機空難,1972年1月7日,0,6,,
美國航空96號班機事故,1972年6月12日,,11,,波音707
克尼格斯武斯特勞森空難,1972年8月14日,0,8,,
日本航空404號班機劫機事件,1973年7月23日,0,22,,波音747
利比亞阿拉伯航空114號班機空難,1973年2月21日,5,9,5,波音727
里約格朗德航空820號班機空難,1973年7月11日,11,17,11,波音707-379C
西班牙商業航空118號班機空難,2014年4月13日,0,6,,
蘇聯民航3932號班機空難,1973年9月30日,8,,,
蘇聯民航964號班機空難,1973年10月13日,8,,,
卡諾空難,1973年1月22日,26,9,,波音707-3D3C
達美航空723號班機空難,1973年7月31日,6,,,
漢莎航空540號班機空難,2013年11月21日,59,17,,波音747-130
馬丁航空138號班機空難,1974年12月4日,9,,,
泛美航空812號班機空難,1974年4月22日,107,11,,波音707-321B
土耳其航空981號班機空難,1974年3月3日,0,13,,
嬰兒空運行動事故,2009年7月1日,175,17,,
东德航空1107号班机空难,1975年9月1日,7,6,,
阿加迪爾空難,2014年3月16日,7,,,波音707
遠東航空134號班機空難,1975年7月31日,5,,,
日本航空422號班機事故,1975年12月16日,11,20,,波音747-246B
印度人航空171號班機空難,1976年10月12日,0,6,,
萨格勒布空难,1976年9月10日,,,,波音737
土耳其航空452號班機空難,1976年9月19日,8,,,波音727
中東航空438號班機空難,1976年1月1日,0,15,,波音720
双六空难,1976年6月6日,,,,
伊朗空軍48號班機空難,1976年5月9日,0,7,,波音747-131SF
恩德培行动,1976年7月4日,,,,空中客车A300
漢莎航空181號班機劫機事件,1977年10月13日,5,5,,波音737-230C
日本航空715號班機空難,1977年9月27日,45,10,,波音707
南方航空242號班機空難,1977年4月4日,22,4,,波音737
馬來西亞航空653號班機空難,1977年12月4日,7,,,波音737-2H6
特內里費空難,1977年3月27日,,,,波音747-206B
環子午線航空3751號班機空難,2018年7月6日,0,4,,波音707
日本航空472號班機 (1977年),1977年9月28日,14,,,波音707
中華航空831號班機劫機事件,1978年3月9日,,9,,波音737-200
印度航空855號班機空難,1978年1月1日,0,23,,波音747
加拿大航空189號班機空難,1978年6月26日,,5,,麦道DC-9-32
冰島航空001號班機空難,1978年11月15日,32,13,,
羅德西亞航空825號班機空難,2016年3月6日,4,,18,
日本航空115號班機事故,1978年6月2日,,15,,波音747-146SR
太平洋西南航空182號班機空難,2015年12月13日,,9,,波音727-214
大韓航空902號班機空難,2009年8月19日,13,12,,麦道DC-10
義大利航空4128號班機空難,1978年12月23日,21,5,,
聯合航空173號班機空難,1978年12月28日,24,8,,波音707
新西蘭航空901號班機空難,1979年11月28日,0,20,,波音707-323C
巴基斯坦國際航空740號班機空難,2014年3月16日,0,11,,波音707
西方航空2605號班機空難,1979年10月31日,,11,16,波音707-323C
1979年第聶伯羅捷爾任斯克撞機事件,1979年8月11日,6,,,波音707-323C
美國航空191號班機空難,1979年5月25日,2,13,,空中客车A300
巴西航空967号班机空难,1979年1月30日,123,6,,波音707Crash
意大利国内航空870号班机空难,2015年12月11日,0,4,,
蘇聯民航4227號班機空難,1980年7月8日,10,,,
伊朗航空291號班機空難,1980年1月21日,8,,,波音727-86
大韓航空015號班機空難,1980年11月19日,198,14,,波音747-200
沙特阿拉伯航空163號班機空難,1980年8月19日,0,14,38,波音747
丹航空1008號班機空難,1980年4月25日,0,8,,波音727-46
LOT波蘭航空007號班機空難,1980年3月14日,0,10,,
蘇聯民航3603號班機空難,1981年11月17日,7,,,
伊內克斯-亞得里亞航空1308號班機空難,1981年12月1日,0,7,,
遠東航空103號班機空難,1981年8月22日,0,6,,波音737-222
苏联民航811号班机空难,1981年8月24日,1,5,,
蘇聯民航343號班機空難,1982年1月24日,7,11,,
泛美航空759號班機空難,2018年5月24日,4,7,,波音727-200Accident
蘇聯民航411號班機空難,2014年3月22日,0,8,,
中国民航3303号班机空难,1982年4月26日,8,,,
日本航空792號班機事故,1982年9月17日,27,11,,波音777-200ER
英國航空9號班機事故,1982年6月24日,0,15,,波音747-236B
佛罗里达航空90号班机空难,2013年12月22日,4,5,,波音737
中國民航2311號班機空難,1982年12月24日,,11,,
蘇聯民航8641號班機空難,2014年3月22日,8,,,
日本航空350號班機空難,2018年9月26日,149,8,,
1982年中国子爵号劫机事件,1982年7月30日,,,,
张家口机场空中相撞,2018年3月21日,,,,
泛美航空830號班機爆炸事件,1982年8月11日,16,,,波音747-121
1982年英國皇家海軍誤擊陸軍直升機事故,1982年6月6日,,,,
加拿大航空797號班機空難,2018年5月22日,16,5,,波音747
1983年桂林奇峰岭机场撞机事件,1983年9月14日,,,,波音737
马来西亚航空684号班机事故,2017年2月20日,,,,空中客车A300B4-120
里夫阿留申航空8号班机事故,2015年10月27日,0,5,,波音737
哥倫比亞航空11號班機空難,1983年11月27日,8,23,11,波音747-283BM
加拿大航空143號班機事故,1983年7月23日,10,8,,波音767-233
大韓航空007號班機空難,2018年12月7日,0,23,,波音747-230B
中国民航296号航班劫机事件,1983年5月5日,9,,,波音707
苏联民航5463号班机空难,1983年8月30日,6,,,波音737
西太平洋航空501號班機事故,1984年3月22日,,5,,波音737-275
苏联民航3519号班机空难,1984年12月23日,1,7,,
蘇聯民航3352號班機空難,1984年10月11日,5,9,,
巴港航空1808號班機空難,1985年8月25日,0,2,,
