Aircraft Type,Manufactor,Register number,Airline,Delivered date,Status
Boeing 737-8JP(WL),Boeing,EI-FVV,Norwegian Air International,8-Jun-17,Active
Boeing 737-8AL(WL),Boeing,JA05GR,Spring Airlines Japan,12-Jun-17,Active
Boeing 737-8MC(WL),Boeing,VP-BNQ,Aeroflot - Russian Airlines,19-Jun-17,Active
Boeing 737-8KF(WL),Boeing,B-1450,Okay Airways,29-Jun-17,Active
Boeing 737-866(WL),Boeing,SU-GEJ,EgyptAir,12-Jun-17,Active
Boeing P-8A Poseidon (737-8FV),Boeing,169334,US Navy,9-Aug-17,Active
Boeing 737-89P(WL),Boeing,B-1448,Shanghai Airlines,17-Jun-17,Active
Boeing 737-8H4(WL),Boeing,N8535S,Southwest Airlines,14-Jun-17,Active
Boeing 737-85C(WL),Boeing,B-7821,Xiamen Airlines,15-Jun-17,Active
Boeing 737-8H4(WL),Boeing,N8536Z,Southwest Airlines,15-Jun-17,Active
Boeing 737-8ME(WL),Boeing,B-1597,Ruili Airlines,19-Jun-17,Active
Boeing 737-8H4(WL),Boeing,N8537Z,Southwest Airlines,20-Jun-17,Active
Boeing 737-86X(WL),Boeing,B-1472,9 Air,27-Jun-17,Active
Boeing 737-8H4(WL),Boeing,N8538V,Southwest Airlines,21-Jun-17,Active
Boeing 737-823(WL),Boeing,N339PL,American Airlines,22-Jun-17,Active
Boeing 737-8AL(WL),Boeing,JA06GR,Spring Airlines Japan,22-Jun-17,Active
Boeing 737-89L(WL),Boeing,B-1419,Air China,22-Jun-17,Active
Boeing 737-8LJ(WL),Boeing,VP-BOB,Rossiya - Russian Airlines,22-Jun-17,Active
Boeing 737-8H4(WL),Boeing,N8539V,Southwest Airlines,26-Jun-17,Active
Boeing 737-85C(WL),Boeing,B-7823,Xiamen Airlines,26-Jun-17,Active
Boeing 737-86X(WL),Boeing,B-1473,9 Air,29-Jun-17,Active
Boeing 737-8JP(WL),Boeing,EI-FVW,Norwegian Air International,27-Jun-17,Active
Boeing 737-86N(WL),Boeing,B-7400,Hainan Airlines,28-Jun-17,Active
Boeing 737-82K(WL),Boeing,EZ-A020,Turkmenistan Airlines,26-Jun-17,Active
Boeing 737-85N(WL),Boeing,B-1437,Shandong Airlines,29-Jun-17,Active
Boeing 737-8H4(WL),Boeing,N8540V,Southwest Airlines,29-Jun-17,Active
Boeing 737-866(WL),Boeing,SU-GEK,EgyptAir,26-Jul-17,Active
Boeing P-8A Poseidon (737-8FV),Boeing,A47-006,Royal Australian Air Force,25-Aug-17,Active
Boeing 737-8H4(WL),Boeing,N8541W,Southwest Airlines,30-Jun-17,Active
Boeing 737-81B(WL),Boeing,B-1410,China Southern Airlines,12-Jul-17,Active
Boeing 737-823(WL),Boeing,N342PM,American Airlines,7-Jul-17,Active
Boeing 737-85C(WL),Boeing,B-7831,Xiamen Airlines,10-Jul-17,Active
Boeing 737-84P(WL),Boeing,B-1487,Hainan Airlines,12-Jul-17,Active
Boeing 737-89P(WL),Boeing,B-1465,China United Airlines,11-Jul-17,Active
Boeing 737-85N(WL),Boeing,B-1439,Shandong Airlines,14-Jul-17,Active
Boeing 737-87L(WL),Boeing,B-1475,Shenzhen Airlines,13-Jul-17,Active
Boeing 737-89L(WL),Boeing,B-1458,Air China Inner Mongolia,13-Jul-17,Active
Boeing 737-86N(WL),Boeing,B-1488,Hainan Airlines,13-Jul-17,Active
Boeing 737-86W(WL),Boeing,B-1480,Fuzhou Airlines,12-Jul-17,Active
Boeing 737-8H4(WL),Boeing,N8542Z,Southwest Airlines,18-Jul-17,Active
Boeing 737-85C(WL),Boeing,B-7818,Xiamen Airlines,17-Jul-17,Active
Boeing 737-81B(WL),Boeing,B-1412,China Southern Airlines,18-Jul-17,Active
Boeing 737-887(WL),Boeing,LV-GVA,Aerolineas Argentinas,18-Jul-17,Active
Boeing 737-85N(WL),Boeing,B-1440,Shandong Airlines,24-Jul-17,Active
Boeing 737-8LJ(WL),Boeing,VP-BMO,Aeroflot - Russian Airlines,1-Aug-17,Active
Boeing P-8A Poseidon (737-8FV),Boeing,169335,US Navy,25-Sep-17,Active
Boeing 737-89P(WL),Boeing,B-1306,China Eastern Airlines,20-Jul-17,Active
Boeing 737-8FE(WL),Boeing,VH-YFY,Virgin Australia,24-Jul-17,Active
Boeing 737-81B(WL),Boeing,B-1411,China Southern Airlines,25-Jul-17,Active
Boeing 737-81Z(WL),Boeing,YI-ASV,Iraqi Airways,24-Jul-17,Active
Boeing 737-87L(WL),Boeing,B-1476,Shenzhen Airlines,24-Jul-17,Active
Boeing 737-89P(WL),Boeing,B-1316,China Eastern Airlines,27-Jul-17,Active
Boeing 737-84P(WL),Boeing,B-1489,Hainan Airlines,26-Jul-17,Active
Boeing 737-8LJ(WL),Boeing,VP-BOD,Rossiya - Russian Airlines,26-Jul-17,Active
Boeing 737-823(WL),Boeing,N343PN,American Airlines,28-Jul-17,Active
Boeing 737-8LW(WL),Boeing,B-1447,Hebei Airlines,17-Aug-17,Active
Boeing 737-89P(WL),Boeing,B-1451,Shanghai Airlines,27-Jul-17,Active
Boeing 737-8MC(WL),Boeing,VP-BPF,Aeroflot - Russian Airlines,9-Aug-17,Active
Boeing 737-85C(WL),Boeing,B-7825,Xiamen Airlines,28-Jul-17,Active
Boeing 737-85P(WL),Boeing,EC-MPS,Air Europa,31-Jul-17,Active
Boeing 737-89P(WL),Boeing,B-1453,Shanghai Airlines,4-Aug-17,Active
Boeing 737-8H4(WL),Boeing,N8543Z,Southwest Airlines,1-Aug-17,Active
Boeing 737-89P(WL),Boeing,B-1307,China Eastern Airlines,4-Aug-17,Active
Boeing 737-87L(WL),Boeing,B-1478,Shenzhen Airlines,8-Aug-17,Active
Boeing 737-81B(WL),Boeing,B-1409,China Southern Airlines,7-Aug-17,Active
Boeing 737-85C(WL),Boeing,B-1455,Xiamen Airlines,4-Aug-17,Active
Boeing 737-89P(WL),Boeing,B-1317,China Eastern Airlines,7-Aug-17,Active
Boeing 737-84P(WL),Boeing,B-1491,Hainan Airlines,10-Aug-17,Active
Boeing 737-824(WL),Boeing,N77539,United Airlines,11-Aug-17,Active
Boeing 737-89P(WL),Boeing,B-1470,China United Airlines,21-Aug-17,Active
Boeing 737-8MC(WL),Boeing,VP-BNP,Aeroflot - Russian Airlines,14-Aug-17,Active
Boeing 737-86W(WL),Boeing,B-1322,Urumqi Air,17-Aug-17,Active
Boeing 737-85N(WL),Boeing,B-1441,Shandong Airlines,10-Aug-17,Active
Boeing 737-86N(WL),Boeing,B-1492,Hainan Airlines,10-Aug-17,Active
Boeing 737-81Z(WL),Boeing,YI-ASW,Iraqi Airways,11-Aug-17,Active
Boeing 737-823(WL),Boeing,N344PP,American Airlines,18-Aug-17,Active
Boeing P-8A Poseidon (737-8FV),Boeing,169336,US Navy,10-Oct-17,Active
Boeing 737-89P(WL),Boeing,B-1421,China Eastern Airlines,18-Aug-17,Active
Boeing 737-8H4(WL),Boeing,N8544Z,Southwest Airlines,16-Aug-17,Active
Boeing 737-81B(WL),Boeing,B-1408,China Southern Airlines,18-Aug-17,Active
Boeing 737-86N(WL),Boeing,B-1493,Hainan Airlines,17-Aug-17,Active
Boeing 737-866(WL),Boeing,SU-GEL,EgyptAir,28-Aug-17,Active
Boeing 737-89P(WL),Boeing,B-1308,China Eastern Airlines,22-Aug-17,Active
Boeing 737-87L(WL),Boeing,B-1477,Shenzhen Airlines,18-Aug-17,Active
Boeing 737-85N(WL),Boeing,B-1442,Shandong Airlines,21-Aug-17,Active
Boeing 737-8LJ(WL),Boeing,VP-BNC,Aeroflot - Russian Airlines,28-Aug-17,Active
Boeing 737-81B(WL),Boeing,B-1400,China Southern Airlines,22-Aug-17,Active
Boeing 737-89P(WL),Boeing,B-1452,Shanghai Airlines,25-Aug-17,Active
Boeing 737-85C(WL),Boeing,B-1457,Xiamen Airlines,23-Aug-17,Active
Boeing 737-83Z(WL),Boeing,B-1462,Donghai Airlines,29-Aug-17,Active
Boeing 737-887(WL),Boeing,LV-GVB,Aerolineas Argentinas,28-Aug-17,Active
Boeing 737-824(WL),Boeing,N78540,United Airlines,28-Aug-17,Active
Boeing 737-8FE(WL),Boeing,VH-YFZ,Virgin Australia,31-Aug-17,Active
Boeing 737-85C(WL),Boeing,B-1456,Xiamen Airlines,28-Aug-17,Active
Boeing 737-84P(WL),Boeing,B-1490,Hainan Airlines,31-Aug-17,Active
Boeing 737-85P(WL),Boeing,EC-MQP,Air Europa,30-Aug-17,Active
Boeing 737-8H4(WL),Boeing,N8545V,Southwest Airlines,31-Aug-17,Active
Boeing 737-8JP(WL),Boeing,EI-FVX,Norwegian Air International,5-Sep-17,Active
Boeing 737-85C(WL),Boeing,B-1302,Xiamen Airlines,5-Sep-17,Active
Boeing 737-8H4(WL),Boeing,N8546V,Southwest Airlines,30-Aug-17,Active
Boeing P-8A Poseidon (737-8FV),Boeing,169337,US Navy,27-Oct-17,Active
Boeing 737-8Q3(WL),Boeing,JA05RK,Japan Transocean Air,12-Sep-17,Active
Boeing 737-8H4(WL),Boeing,N8547V,Southwest Airlines,8-Sep-17,Active
Boeing 737-823(WL),Boeing,N346PR,American Airlines,11-Sep-17,Active
Boeing 737-8AS(WL),Boeing,SP-RSN,Ryanair Sun,8-Nov-18,Active
Boeing 737-8AS(WL),Boeing,SP-RSN,Buzz,Due,Planned
Boeing 737-8AL(WL),Boeing,N804XA,Saudi Aramco,11-Sep-17,Active
Boeing 737-887(WL),Boeing,LV-GVC,Aerolineas Argentinas,11-Sep-17,Active
Boeing 737-89P(WL),Boeing,B-1332,Shanghai Airlines,8-Sep-17,Active
Boeing 737-8AS(WL),Boeing,EI-GDC,Ryanair,7-Sep-17,Active
Boeing 737-8FE(WL),Boeing,VH-YWA,Virgin Australia,14-Sep-17,Active
Boeing 737-85C(WL),Boeing,B-1301,Xiamen Airlines,11-Sep-17,Active
Boeing 737-86N(WL),Boeing,B-1496,Hainan Airlines,12-Sep-17,Active
Boeing 737-89P(WL),Boeing,B-1471,China United Airlines,21-Sep-17,Active
Boeing 737-81B(WL),Boeing,B-1401,China Southern Airlines,12-Sep-17,Active
Boeing 737-824(WL),Boeing,N79541,United Airlines,14-Sep-17,Active
Boeing 737-8ME(WL),Boeing,B-1596,Ruili Airlines,28-Sep-17,Active
Boeing 737-87L(WL),Boeing,B-1479,Shenzhen Airlines,14-Sep-17,Active
Boeing 737-84P(WL),Boeing,B-1313,Suparna Airlines,15-Sep-17,Active
Boeing 737-88L(WL),Boeing,HS-DBZ,Nok Air,18-Sep-17,Active
Boeing 737-81B(WL),Boeing,B-1403,China Southern Airlines,19-Sep-17,Active
Boeing 737-84P(WL),Boeing,B-1315,Suparna Airlines,22-Sep-17,Active
Boeing 737-8LJ(WL),Boeing,VP-BKA,Aeroflot - Russian Airlines,22-Sep-17,Active
Boeing 737-89P(WL),Boeing,B-1449,China Eastern Airlines,21-Sep-17,Active
Boeing 737-852(WL),Boeing,XA-ADU,Aeroméxico,21-Sep-17,Active
Boeing 737-84P(WL),Boeing,B-1495,Hainan Airlines,26-Sep-17,Active
Boeing 737-8AS(WL),Boeing,SP-RSO,Ryanair Sun,7-Nov-18,Active
Boeing 737-8AS(WL),Boeing,SP-RSO,Buzz,Due,Planned
Boeing P-8A Poseidon (737-8FV),Boeing,169338,US Navy,14-Nov-17,Active
Boeing 737-823(WL),Boeing,N352PS,American Airlines,26-Sep-17,Active
Boeing 737-8AS(WL),Boeing,SP-RSP,Ryanair Sun,8-Nov-18,Active
Boeing 737-8AS(WL),Boeing,SP-RSP,Buzz,Due,Planned
Boeing 737-824(WL),Boeing,N77542,United Airlines,27-Sep-17,Active
Boeing 737-85N(WL),Boeing,B-1443,Shandong Airlines,25-Sep-17,Active
Boeing 737-8AS(WL),Boeing,SP-RSR,Ryanair Sun,15-Nov-18,Active
Boeing 737-8AS(WL),Boeing,SP-RSR,Buzz,Due,Planned
Boeing 737-85C(WL),Boeing,B-1300,Xiamen Airlines,27-Sep-17,Active
Boeing 737-8AL(WL),Boeing,N805XA,Saudi Aramco,29-Sep-17,Stored
Boeing 737-8LW(WL),Boeing,B-1328,Hebei Airlines,29-Sep-17,Active
Boeing 737-81B(WL),Boeing,B-1413,China Southern Airlines,27-Sep-17,Active
Boeing 737-85C(WL),Boeing,B-1303,Xiamen Airlines,29-Sep-17,Active
Boeing 737-89P(WL),Boeing,B-1309,China Eastern Airlines,13-Oct-17,Active
Boeing 737-823(WL),Boeing,N354PT,American Airlines,10-Oct-17,Active
Boeing 737-8LJ(WL),Boeing,VP-BKE,Aeroflot - Russian Airlines,11-Oct-17,Active
Boeing 737-866(WL),Boeing,SU-GEM,EgyptAir,19-Oct-17,Active
Boeing 737-8AS(WL),Boeing,EI-GDD,Ryanair,29-Sep-17,Active
Boeing 737-81B(WL),Boeing,B-1405,China Southern Airlines,16-Oct-17,Active
Boeing 737-8AS(WL),Boeing,EI-GDE,Ryanair,6-Oct-17,Active
Boeing 737-89P(WL),Boeing,B-1335,Shanghai Airlines,13-Oct-17,Active
Boeing 737-8AS(WL),Boeing,EI-GDF,Ryanair,10-Oct-17,Active
Boeing 737-8AL(WL),Boeing,N806XA,Saudi Aramco,17-Oct-17,Active
Boeing P-8A Poseidon (737-8FV),Boeing,A47-007,Royal Australian Air Force,6-Dec-17,Active
Boeing 737-8MG(WL),Boeing,G-JZBA,Jet2,16-Oct-17,Active
Boeing 737-8H4(WL),Boeing,N8548P,Southwest Airlines,11-Oct-17,Active
Boeing 737-8AS(WL),Boeing,EI-GDG,Ryanair,13-Oct-17,Active
Boeing 737-84P(WL),Boeing,B-1497,Hainan Airlines,16-Oct-17,Active
Boeing 737-852(WL),Boeing,XA-ADT,Aeroméxico,16-Oct-17,Active
Boeing 737-8MC(WL),Boeing,VP-BKF,Aeroflot - Russian Airlines,18-Oct-17,Active
Boeing 737-89P(WL),Boeing,B-1310,China United Airlines,19-Oct-17,Active
Boeing 737-8H4(WL),Boeing,N8549Z,Southwest Airlines,18-Oct-17,Active
Boeing 737-8AL(WL),Boeing,VP-BPJ,Pobeda,20-Oct-17,Active
Boeing 737-86N(WL),Boeing,B-1498,Hainan Airlines,24-Oct-17,Active
Boeing 737-85C(WL),Boeing,B-1326,Jiangxi Air,19-Oct-17,Active
Boeing 737-8AS(WL),Boeing,EI-GDH,Ryanair,23-Oct-17,Active
Boeing 737-8H4(WL),Boeing,N8550Q,Southwest Airlines,30-Oct-17,Active
Boeing 737-81B(WL),Boeing,B-1406,China Southern Airlines,24-Oct-17,Active
Boeing 737-8H4(WL),Boeing,N8551Q,Southwest Airlines,24-Oct-17,Active
Boeing 737-8MG(WL),Boeing,G-JZBB,Jet2,26-Oct-17,Active
Boeing 737-89P(WL),Boeing,B-1318,China Eastern Airlines,26-Oct-17,Active
Boeing 737-86W(WL),Boeing,B-1325,Urumqi Air,27-Oct-17,Active
Boeing 737-85C(WL),Boeing,B-1305,Xiamen Airlines,30-Oct-17,Active
Boeing 737-8AS(WL),Boeing,EI-GDI,Ryanair,1-Nov-17,Active
Boeing 737-8AS(WL),Boeing,EI-GDK,Ryanair,2-Nov-17,Active
Boeing 737-8AS(WL),Boeing,EI-GDM,Ryanair,6-Nov-17,Active
Boeing 737-83Z(WL),Boeing,B-7300,Donghai Airlines,19-Dec-17,Active
Boeing P-8A Poseidon (737-8FV),Boeing,169339,US Navy,4-Jan-18,Active
Boeing 737-823(WL),Boeing,N355PU,American Airlines,7-Nov-17,Active
Boeing 737-8AL(WL),Boeing,VP-BPL,Pobeda,14-Nov-17,Active
Boeing 737-8KF(WL),Boeing,B-1337,Okay Airways,3-Nov-17,Active
Boeing 737-8FE(WL),Boeing,VH-YWD,Virgin Australia,17-Nov-17,Active
Boeing 737-8CT(WL),Boeing,C-GOCD,WestJet,16-Nov-17,Active
Boeing 737-84P(WL),Boeing,B-1346,Hainan Airlines,13-Nov-17,Active
Boeing 737-8MG(WL),Boeing,G-JZBC,Jet2,24-Nov-17,Active
Boeing 737-81B(WL),Boeing,B-1407,China Southern Airlines,28-Nov-17,Active
Boeing 737-8AL(WL),Boeing,VP-BPK,Pobeda,9-Nov-17,Active
Boeing 737-8AS(WL),Boeing,EI-GDN,Ryanair,10-Nov-17,Active
Boeing 737-89P(WL),Boeing,B-1336,Shanghai Airlines,13-Nov-17,Active
Boeing 737-8LY(WL),Boeing,B-1331,Kunming Airlines,29-Nov-17,Active
Boeing 737-8JP(WL),Boeing,EI-FVY,Norwegian Air International,22-Nov-17,Active
Boeing 737-86W(WL),Boeing,B-1481,Air Changan,16-Nov-17,Active
Boeing 737-8AS(WL),Boeing,EI-GDO,Ryanair,29-Nov-17,Active
Boeing 737-8MG(WL),Boeing,G-JZBD,Jet2,17-Nov-17,Active
Boeing 737-8MC(WL),Boeing,VP-BKN,Aeroflot - Russian Airlines,21-Nov-17,Active
Boeing 737-89P(WL),Boeing,B-1320,China Eastern Airlines,16-Nov-17,Active
Boeing 737-81B(WL),Boeing,B-1402,China Southern Airlines,20-Nov-17,Active
Boeing 737-8H4(WL),Boeing,N8552Z,Southwest Airlines,16-Nov-17,Active
Boeing P-8A Poseidon (737-8FV),Boeing,169340,US Navy,23-Jan-18,Active
Boeing 737-86N(WL),Boeing,B-1347,Hainan Airlines,29-Nov-17,Active
Boeing 737-89P(WL),Boeing,B-1311,China United Airlines,22-Nov-17,Active
Boeing 737-823(WL),Boeing,N357PV,American Airlines,29-Nov-17,Active
Boeing 737-8KF(WL),Boeing,B-1338,Okay Airways,23-Nov-17,Active
Boeing 737-8AL(WL),Boeing,VP-BPS,Pobeda,28-Nov-17,Active
Boeing 737-8CT(WL),Boeing,C-GJLS,WestJet,30-Nov-17,Active
Boeing 737-8LJ(WL),Boeing,VP-BKK,Aeroflot - Russian Airlines,30-Nov-17,Active
Boeing 737-89P(WL),Boeing,B-1319,China Eastern Airlines,30-Nov-17,Active
Boeing 737-8KV(WL),Boeing,UR-UIA,Ukraine International Airlines,20-Dec-17,Active
Boeing 737-85C(WL),Boeing,B-1327,Jiangxi Air,11-Dec-17,Active
Boeing 737-8H4(WL),Boeing,N8553W,Southwest Airlines,4-Dec-17,Active
Boeing 737-8MG(WL),Boeing,G-JZBE,Jet2,4-Dec-17,Active
Boeing 737-823(WL),Boeing,N358PW,American Airlines,8-Dec-17,Active
Boeing 737-866(WL),Boeing,SU-GEN,EgyptAir,7-Dec-17,Active
Boeing 737-8H4(WL),Boeing,N8554X,Southwest Airlines,8-Dec-17,Active
Boeing 737-823(WL),Boeing,N359PX,American Airlines,12-Dec-17,Active
Boeing 737-84P(WL),Boeing,B-1372,Hainan Airlines,8-Dec-17,Active
Boeing 737-89P(WL),Boeing,B-1312,China United Airlines,14-Dec-17,Active
Boeing 737-8LY(WL),Boeing,B-1330,Kunming Airlines,19-Dec-17,Active
Boeing 737-84P(WL),Boeing,B-1375,Hainan Airlines,12-Dec-17,Active
Boeing 737-8H4(WL),Boeing,N8555Z,Southwest Airlines,11-Dec-17,Active
Boeing 737-8H4(WL),Boeing,N8556Z,Southwest Airlines,12-Dec-17,Active
Boeing P-8A Poseidon (737-8FV),Boeing,169341,US Navy,8-Feb-18,Active
Boeing 737-8AL(WL),Boeing,HL8300,T'Way Air,15-Dec-17,Active
Boeing 737-8H4(WL),Boeing,N8557Q,Southwest Airlines,15-Dec-17,Active
Boeing 737-86W(WL),Boeing,B-1323,Urumqi Air,15-Dec-17,Active
Boeing 737-8H4(WL),Boeing,N8558Z,Southwest Airlines,18-Dec-17,Active
Boeing 737-8LJ(WL),Boeing,VP-BOH,Rossiya - Russian Airlines,22-Dec-17,Active
Boeing 737-8Q3(WL),Boeing,JA06RK,Japan Transocean Air,20-Dec-17,Active
Boeing 737-8MC(WL),Boeing,VP-BSB,Aeroflot - Russian Airlines,20-Dec-17,Active
Boeing 737-8MG(WL),Boeing,G-JZBF,Jet2,20-Dec-17,Active
Boeing 737-8ME(WL),Boeing,B-1598,Ruili Airlines,29-Dec-17,Active
Boeing 737-89P(WL),Boeing,B-1321,China Eastern Airlines,22-Dec-17,Active
Boeing 737-89L(WL),Boeing,B-1210,Dalian Airlines,22-Dec-17,Active
Boeing 737-81B(WL),Boeing,B-1367,China Southern Airlines,26-Dec-17,Active
Boeing 737-84P(WL),Boeing,B-1373,Hainan Airlines,22-Dec-17,Active
Boeing 737-84P(WL),Boeing,B-1391,Suparna Airlines,27-Dec-17,Active
Boeing 737-8AL(WL),Boeing,B-1350,Fuzhou Airlines,22-Dec-17,Active
Boeing 737-81B(WL),Boeing,B-1365,China Southern Airlines,27-Dec-17,Active
Boeing 737-89P(WL),Boeing,B-1253,China Eastern Airlines,19-Mar-18,Active
Boeing 737-8JP(WL),Boeing,EI-FVZ,Norwegian Air International,9-Jan-18,Active
Boeing 737-8H4(WL),Boeing,N8559Q,Southwest Airlines,12-Jan-18,Active
Boeing 737-8LJ(WL),Boeing,VQ-BHB,Aeroflot - Russian Airlines,23-Jan-18,Active
Boeing P-8A Poseidon (737-8FV),Boeing,A47-008,Royal Australian Air Force,28-Feb-18,Stored
Boeing 737-8AS(WL),Boeing,EI-GDP,Ryanair,16-Jan-18,Active
Boeing 737-8LW(WL),Boeing,B-1366,Hebei Airlines,16-Mar-18,Active
Boeing 737-85C(WL),Boeing,B-1352,Xiamen Airlines,17-Jan-18,Active
Boeing 737-81B(WL),Boeing,B-1363,China Southern Airlines,21-Mar-18,Active
Boeing 737-8MG(WL),Boeing,G-JZBG,Jet2,17-Jan-18,Active
Boeing 737-8V3(WL),Boeing,HP-1856CMP,Copa Airlines,18-Jan-18,Active
Boeing 737-8H4(WL),Boeing,N8560Z,Southwest Airlines,17-Jan-18,Active
Boeing 737-89P(WL),Boeing,B-1281,China United Airlines,21-Mar-18,Active
Boeing 737-8AS(WL),Boeing,EI-GDR,Ryanair,23-Jan-18,Active
Boeing 737-8AL(WL),Boeing,B-1348,Fuzhou Airlines,24-Jan-18,Active
Boeing 737-8MG(WL),Boeing,G-JZBH,Jet2,31-Jan-18,Active
Boeing 737-8H4(WL),Boeing,N8561Z,Southwest Airlines,22-Jan-18,Active
Boeing 737-85N(WL),Boeing,B-1358,Shandong Airlines,23-Jan-18,Active
Boeing 737-86W(WL),Boeing,B-1208,Lucky Air,29-Jan-18,Active
Boeing 737-8AS(WL),Boeing,EI-GDS,Ryanair,23-Jan-18,Active
Boeing 737-85C(WL),Boeing,B-1353,Xiamen Airlines,25-Jan-18,Active
Boeing 737-8AS(WL),Boeing,EI-GDT,Ryanair,29-Jan-18,Active
Boeing 737-8FE(WL),Boeing,VH-YWE,Virgin Australia,29-Jan-18,Active
Boeing 737-84P(WL),Boeing,B-1386,Hainan Airlines,29-Jan-18,Active
Boeing 737-8AS(WL),Boeing,EI-GDV,Ryanair,30-Jan-18,Active
Boeing 737-8AL(WL),Boeing,B-1351,Fuzhou Airlines,30-Jan-18,Active
Boeing 737-8AS(WL),Boeing,EI-GDW,Ryanair,31-Jan-18,Active
Boeing 737-85C(WL),Boeing,B-1355,Xiamen Airlines,31-Jan-18,Active
Boeing P-8A Poseidon (737-8FV),Boeing,169342,US Navy,21-Mar-18,Active
Boeing 737-8AS(WL),Boeing,EI-GDX,Ryanair,2-Feb-18,Active
Boeing 737-85N(WL),Boeing,B-1359,Shandong Airlines,2-Feb-18,Active
Boeing 737-89P(WL),Boeing,B-1235,China Eastern Airlines,16-Mar-18,Active
Boeing 737-85C(WL),Boeing,B-1371,Xiamen Airlines,5-Feb-18,Active
Boeing 737-86W(WL),Boeing,B-1209,Lucky Air,28-Feb-18,Active
Boeing 737-85C(WL),Boeing,B-1370,Xiamen Airlines,7-Feb-18,Active
Boeing 737-81B(WL),Boeing,B-1362,China Southern Airlines,21-Mar-18,Active
Boeing 737-85C(WL),Boeing,B-1369,Xiamen Airlines,9-Feb-18,Active
Boeing 737-89P(WL),Boeing,B-1280,China United Airlines,27-Mar-18,Active
Boeing 737-8H4(WL),Boeing,N8562Z,Southwest Airlines,12-Feb-18,Active
Boeing 737-8AS(WL),Boeing,EI-GDY,Ryanair,27-Feb-18,Active
Boeing 737-8H4(WL),Boeing,N8563Z,Southwest Airlines,13-Feb-18,Active
Boeing 737-8AL(WL),Boeing,VP-BPT,Pobeda,15-Feb-18,Active
Boeing 737-8MG(WL),Boeing,G-JZBI,Jet2,15-Feb-18,Active
Boeing 737-8AS(WL),Boeing,EI-GDZ,Ryanair,16-Feb-18,Active
Boeing 737-8JP(WL),Boeing,LN-NIJ,Norwegian Air Shuttle,20-Feb-18,Active
Boeing P-8A Poseidon (737-8FV),Boeing,169343,US Navy,11-Apr-18,Active
Boeing 737-8H4(WL),Boeing,N8564Z,Southwest Airlines,26-Feb-18,Active
Boeing 737-8AS(WL),Boeing,EI-GJA,Ryanair,20-Feb-18,Active
Boeing 737-8H4(WL),Boeing,N8565Z,Southwest Airlines,21-Feb-18,Active
Boeing 737-8LJ(WL),Boeing,VP-BFB,Aeroflot - Russian Airlines,27-Feb-18,Active
Boeing 737-8AS(WL),Boeing,EI-GJB,Ryanair,23-Feb-18,Active
Boeing 737-8MG(WL),Boeing,G-JZBJ,Jet2,27-Feb-18,Active
Boeing 737-8AS(WL),Boeing,EI-GJC,Ryanair,26-Feb-18,Active
Boeing 737-8K2(WL),Boeing,F-HTVH,Transavia France,27-Feb-18,Active
Boeing 737-84P(WL),Boeing,B-1213,Hainan Airlines,28-Feb-18,Active
Boeing 737-8AS(WL),Boeing,EI-GJD,Ryanair,28-Feb-18,Active
Boeing 737-8AS(WL),Boeing,EI-GJE,Ryanair,2-Mar-18,Active
Boeing 737-86X(WL),Boeing,B-1233,9 Air,29-Mar-18,Active
Boeing 737-8AS(WL),Boeing,EI-GJF,Ryanair,28-Feb-18,Active
Boeing 737-81B(WL),Boeing,B-1237,China Southern Airlines,22-Mar-18,Active
Boeing 737-8H4(WL),Boeing,N8566Z,Southwest Airlines,8-Mar-18,Active
Boeing 737-85N(WL),Boeing,B-1360,Shandong Airlines,8-Mar-18,Active
Boeing 737-8K2(WL),Boeing,F-HTVI,Transavia France,9-Mar-18,Active
Boeing 737-87L(WL),Boeing,B-1377,Shenzhen Airlines,22-Mar-18,Active
Boeing P-8A Poseidon (737-8FV),Boeing,169344,US Navy,27-Apr-18,Active
Boeing 737-89P(WL),Boeing,B-1262,Shanghai Airlines,20-Mar-18,Active
Boeing 737-8MG(WL),Boeing,G-JZBK,Jet2,14-Mar-18,Active
Boeing 737-8KV(WL),Boeing,UR-UIC,Ukraine International Airlines,15-Mar-18,Active
Boeing 737-84P(WL),Boeing,B-1215,Hainan Airlines,16-Mar-18,Active
Boeing 737-8AS(WL),Boeing,EI-GJG,Ryanair,16-Mar-18,Active
Boeing 737-81B(WL),Boeing,B-1283,China Southern Airlines,26-Mar-18,Active
Boeing 737-8AS(WL),Boeing,EI-GJH,Ryanair,20-Mar-18,Active
Boeing 737-8H4(WL),Boeing,N8567Z,Southwest Airlines,20-Mar-18,Active
Boeing 737-8AS(WL),Boeing,EI-GJI,Ryanair,23-Mar-18,Active
Boeing 737-8Q3(WL),Boeing,JA07RK,Japan Transocean Air,22-Mar-18,Active
Boeing 737-89L(WL),Boeing,B-1219,Air China,23-Mar-18,Active
Boeing 737-8KF(WL),Boeing,B-1228,Okay Airways,23-Mar-18,Active
Boeing 737-8MG(WL),Boeing,G-JZBL,Jet2,26-Mar-18,Active
Boeing 737-8AS(WL),Boeing,EI-GJJ,Ryanair,29-Mar-18,Active
Boeing 737-8AL(WL),Boeing,VP-BPU,Pobeda,29-Mar-18,Active
Boeing 737-8AS(WL),Boeing,EI-GJK,Ryanair,23-Mar-18,Active
Boeing P-8A Poseidon (737-8FV),Boeing,169345,US Navy,5-Jun-18,Active
