Aircraft Type,Manufactor,Register number,Airline,Delivered date,Status
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EC-GQG,Spanair,Oct 1997(25 Mar 1988),Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N65858,Falcon Air Express,15-Mar-07,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N939AS,GA Telesis,2-Apr-12,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N873GA,Allegiant Air,22-Dec-05,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,ZS-OPZ,1Time,7-Sep-05,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,LV-CDD,Andes Líneas Aéreas,Feb-10,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EC-KCX,Swiftair,22-Mar-07,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,YR-OTH,Tend Air,4 Nov 2013(May 2013),Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,TN-AJT,Canadian Airways Congo,11-Aug-16,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N565MS,GECAS,6 Dec 2010( 1 Feb 1997),Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,LV-CCJ,Andes Líneas Aéreas,Dec-09,Active
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EC-GXU,Spanair,Aug 1997( 1 Aug 1992),Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N405NV,Allegiant Air,11-Dec-08,Stored
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,EC-HKP,Spanair,Apr-00,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N880GA,Allegiant Air,8-Jun-06,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,N626MD,GECAS,9-Dec-08,Scrapped
McDonnell Douglas MD-83 (DC-9-83),McDonnell-Douglas,YV130T,Aeropostal,Oct 2005(23 Dec 2003),Scrapped
